Region,Basin,DbSiteCode,Date,Method,Watercourse,Site,LatWgs84,LongWgs84,PredictedNumberOfIndigenousSpecies,NumberOfIndigenousSpecies,Poise,PropTrans,PropAlien,PropNonIndigenous,SiteTotNumFish,SiteNumUniqIndSpp,SiteTotNumNoIFish,SiteTotNumAliFish,SiteTotNumTraFish,SitePonis,SitePoise,BasinNumUniqIndSpp,BasinTotNumFish,BasinTotNumIndFish,BasinTotNumNoIFish,BasinTotNumAliFish,BasinTotNumTraFish,BasinPropTrans,BasinPropAlien,BasinPonis,BasinPoise,StandPoise,StandPonis,fish_index
Dry Tropics,Black,117-0009,2022-09-14T00:00:00Z,Backpack Electrofishing,Rollingstone Creek,"Bruce Highway, Rollingstone",-19.0494462,146.3960195,11.820486,10,0.8459889043479261,0,0.016853932584269662,0.016853932584269662,178,10,3,3,0,0.016853932584269662,0.8459889043479261,25,2217,1830,387,387,0,0,0.029304029304029304,0.029304029304029304,0.42902118987139315,25,84,55
Dry Tropics,Black,117-0066,2022-09-16T00:00:00Z,Backpack Electrofishing,Deep Creek,"Bruce Highway, Bluewater",-19.19228,146.57301,12.703657,5,0.39358745280984836,0,0.029304029304029304,0.029304029304029304,273,5,8,8,0,0.029304029304029304,0.39358745280984836,25,2217,1830,387,387,0,0,0.029304029304029304,0.029304029304029304,0.42902118987139315,25,84,55
Dry Tropics,Ross,118-0023,2022-09-14T00:00:00Z,Backpack Electrofishing,Little Bohle River,"Granitevale Road, Alice River",-19.354728,146.611096,10.137154,6,0.5918821002423362,0,0.09310344827586207,0.09310344827586207,290,6,27,27,0,0.09310344827586207,0.5918821002423362,29,4011,3447,564,529,35,0,0.10153097724996424,0.10153097724996424,0.6451338295687293,58,41,49
Dry Tropics,Ross,118-0056,2022-09-12T00:00:00Z,Backpack Electrofishing,Alligator Creek,"Alligator Creek Road, Alligator Creek",-19.3979631,146.9494646,12.530987,6,0.4788130416223399,0,0.023121387283236993,0.023121387283236993,173,6,4,4,0,0.023121387283236993,0.4788130416223399,29,4011,3447,564,529,35,0,0.10153097724996424,0.10153097724996424,0.6451338295687293,58,41,49
Dry Tropics,Ross,118-0107,2022-09-13T00:00:00Z,Backpack Electrofishing,Ross River,"Riverway Drive, Kelso",-19.4066523,146.734806,15.428856,10,0.6481361936361322,0.041666666666666664,0.3333333333333333,0.375,144,10,54,48,6,0.375,0.6481361936361322,29,4011,3447,564,529,35,0,0.10153097724996424,0.10153097724996424,0.6451338295687293,58,41,49
Dry Tropics,Ross,118-0232,2022-09-15T00:00:00Z,Backpack Electrofishing,Alligator Creek,"Strachan Road, Alligator Creek",-19.4041689,146.9470566,12.458508,8,0.6421314655013265,0,0,0,219,8,0,0,0,0,0.6421314655013265,29,4011,3447,564,529,35,0,0.10153097724996424,0.10153097724996424,0.6451338295687293,58,41,49
Dry Tropics,Ross,118-9999,2021-06-16T00:00:00Z,Boat Electrofishing,Ross River,"Riverview Park, Annandale",-19.3083,146.7761,16.806707,13,0.7735007220629241,0.003424657534246575,0.007990867579908675,0.01141552511415525,876,13,10,7,3,0.01141552511415525,0.7735007220629241,29,4011,3447,564,529,35,0,0.10153097724996424,0.10153097724996424,0.6451338295687293,58,41,49
Dry Tropics,Ross,118-0008,2022-09-15T00:00:00Z,Backpack Electrofishing,Bohle River,"Off S Beck Drive, Rasmussen",-19.347338,146.712697,12.950792,6,0.46329212916090384,0,0.10995850622406639,0.10995850622406639,482,6,53,53,0,0.10995850622406639,0.46329212916090384,29,4011,3447,564,529,35,0,0.10153097724996424,0.10153097724996424,0.6451338295687293,58,41,49
Dry Tropics,Ross,118-0031,2022-09-14T00:00:00Z,Backpack Electrofishing,Bohle River,"Off Laudberg Road, Kelso",-19.390807,146.700757,12.254076,6,0.48963300048081965,0,0.4467005076142132,0.4467005076142132,197,6,88,88,0,0.4467005076142132,0.48963300048081965,29,4011,3447,564,529,35,0,0.10153097724996424,0.10153097724996424,0.6451338295687293,58,41,49
Dry Tropics,Ross,118-0063,2022-09-13T00:00:00Z,Backpack Electrofishing,Stuart Creek,"Bougainville Street, Roseneath",-19.3677701,146.8449613,12.172958,9,0.7393437158002188,0,0.20430107526881722,0.20430107526881722,186,9,38,38,0,0.20430107526881722,0.7393437158002188,29,4011,3447,564,529,35,0,0.10153097724996424,0.10153097724996424,0.6451338295687293,58,41,49
Dry Tropics,Ross,118-0114,2022-09-14T00:00:00Z,Backpack Electrofishing,Stony Creek,"Geaney Lane, Deeragun",-19.2483848,146.6660557,11.874111,3,0.25265049316113014,0,0.7674418604651163,0.7674418604651163,172,3,132,132,0,0.7674418604651163,0.25265049316113014,29,4011,3447,564,529,35,0,0.10153097724996424,0.10153097724996424,0.6451338295687293,58,41,49
Dry Tropics,Ross,118-9998,2021-06-16T00:00:00Z,Boat Electrofishing,Ross River,"Gollogly Drive, Rasmussen",-19.3395,146.7291,16.274612,15,0.921680959275711,0.0468384074941452,0.00936768149882904,0.05620608899297424,427,15,24,4,20,0.05620608899297424,0.921680959275711,29,4011,3447,564,529,35,0,0.10153097724996424,0.10153097724996424,0.6451338295687293,58,41,49
Dry Tropics,Black,117-0019,2022-09-12T00:00:00Z,Backpack Electrofishing,Canal Creek,"Black River Road, Black River",-19.2907993,146.6009929,11.654436,5,0.42902118987139315,0,0.4126984126984127,0.4126984126984127,126,5,52,52,0,0.4126984126984127,0.42902118987139315,25,2217,1830,387,387,0,0,0.029304029304029304,0.029304029304029304,0.42902118987139315,25,84,55
Dry Tropics,Ross,118-0139,2022-09-13T00:00:00Z,Backpack Electrofishing,Antill Plains Creek,"Flinders Highway, Ross River",-19.4348788,146.8551803,12.904691,9,0.6974208061239127,0.024193548387096774,0.11290322580645161,0.13709677419354838,248,9,34,28,6,0.13709677419354838,0.6974208061239127,29,4011,3447,564,529,35,0,0.10153097724996424,0.10153097724996424,0.6451338295687293,58,41,49
Dry Tropics,Ross,118-0036,2022-09-15T00:00:00Z,Backpack Electrofishing,Bohle River,"Dalrymple Road, Mount Louisa",-19.290351486,146.710731118,13.449694,9,0.6691602054292091,0,0.04583333333333333,0.04583333333333333,240,9,11,11,0,0.04583333333333333,0.6691602054292091,29,4011,3447,564,529,35,0,0.10153097724996424,0.10153097724996424,0.6451338295687293,58,41,49
Dry Tropics,Ross,118-0039,2022-09-13T00:00:00Z,Backpack Electrofishing,Sachs Creek,"Kavenagh Court, Oak Valley",-19.4066148,146.8166231,11.229382,6,0.5343125739243709,0,0.8148148148148148,0.8148148148148148,108,6,88,88,0,0.8148148148148148,0.5343125739243709,29,4011,3447,564,529,35,0,0.10153097724996424,0.10153097724996424,0.6451338295687293,58,41,49
Dry Tropics,Black,117-0021,2022-09-13T00:00:00Z,Backpack Electrofishing,Crystal Creek,"Spiegelhauer Road, Mutarnee",-18.9728322,146.2760807,11.787072,9,0.7635484028603541,0,0,0,63,9,0,0,0,0,0.7635484028603541,25,2217,1830,387,387,0,0,0.029304029304029304,0.029304029304029304,0.42902118987139315,25,84,55
Dry Tropics,Black,117-0037,2022-09-13T00:00:00Z,Backpack Electrofishing,Crystal Creek,"Daly Road, Mutarnee",-18.9570751,146.2848667,14.832156,10,0.6742108160135317,0,0,0,91,10,0,0,0,0,0.6742108160135317,25,2217,1830,387,387,0,0,0.029304029304029304,0.029304029304029304,0.42902118987139315,25,84,55
Dry Tropics,Ross,118-0168,2022-09-12T00:00:00Z,Backpack Electrofishing,Alligator Creek,"Alligator Creek Road, Bowling Green Bay National Park, Mount Elliot",-19.4313303,146.9440282,10.06027,7,0.6958063749780076,0,0.004016064257028112,0.004016064257028112,249,7,1,1,0,0.004016064257028112,0.6958063749780076,29,4011,3447,564,529,35,0,0.10153097724996424,0.10153097724996424,0.6451338295687293,58,41,49
Dry Tropics,Black,117-0006,2022-09-12T00:00:00Z,Backpack Electrofishing,Black River,"Bruce Highway, Black River",-19.2272281,146.629630103,14.629471,6,0.4101310293448068,0,0.3430232558139535,0.3430232558139535,172,6,59,59,0,0.3430232558139535,0.4101310293448068,25,2217,1830,387,387,0,0,0.029304029304029304,0.029304029304029304,0.42902118987139315,25,84,55
Dry Tropics,Black,117-0029,2022-09-14T00:00:00Z,Backpack Electrofishing,Leichardt Creek,"Setter Road, Bluewater",-19.1371678,146.4820601,11.308842,9,0.7958374517921464,0,0,0,110,9,0,0,0,0,0.7958374517921464,25,2217,1830,387,387,0,0,0.029304029304029304,0.029304029304029304,0.42902118987139315,25,84,55
Dry Tropics,Black,117-0041,2022-09-14T00:00:00Z,Backpack Electrofishing,Bullocky Toms Creek,"Volk Road, Mutarnee",-18.9591618,146.2615233,10.006556,6,0.5996068977178561,0,0.038834951456310676,0.038834951456310676,103,6,4,4,0,0.038834951456310676,0.5996068977178561,25,2217,1830,387,387,0,0,0.029304029304029304,0.029304029304029304,0.42902118987139315,25,84,55
Dry Tropics,Black,117-0131,2022-09-16T00:00:00Z,Backpack Electrofishing,Log Creek,"Adenaline Paintball, Black River",-19.287011,146.59877,12.636838,5,0.395668600008958,0,0.44495412844036697,0.44495412844036697,218,5,97,97,0,0.44495412844036697,0.395668600008958,25,2217,1830,387,387,0,0,0.029304029304029304,0.029304029304029304,0.42902118987139315,25,84,55
Dry Tropics,Black,117-0069,2022-09-13T00:00:00Z,Backpack Electrofishing,Nolans Gully,"Intake Road, Paluma Range National Park, Crystal Creek",-18.9835763,146.2364761,6.628424,7,1.0560579709445261,0,0,0,106,7,0,0,0,0,1.0560579709445261,25,2217,1830,387,387,0,0,0.029304029304029304,0.029304029304029304,0.42902118987139315,25,84,55
Dry Tropics,Black,117-0085,2022-09-14T00:00:00Z,Backpack Electrofishing,Clerk Creek,"Bruce Highway, Mutarnee",-18.980947842,146.333471583,11.603516,4,0.3447230994467539,0,0.2607879924953096,0.2607879924953096,533,4,139,139,0,0.2607879924953096,0.3447230994467539,25,2217,1830,387,387,0,0,0.029304029304029304,0.029304029304029304,0.42902118987139315,25,84,55
Dry Tropics,Black,117-0094,2022-09-16T00:00:00Z,Backpack Electrofishing,Tributary of Palm Tree Creek,"Page Road, Hervey Range",-19.347883,146.485145,8.064235,3,0.3720129683720774,0,0.4067796610169492,0.4067796610169492,59,3,24,24,0,0.4067796610169492,0.3720129683720774,25,2217,1830,387,387,0,0,0.029304029304029304,0.029304029304029304,0.42902118987139315,25,84,55
Dry Tropics,Black,117-0001,2022-09-12T00:00:00Z,Backpack Electrofishing,Pine Creek,"Forestry Road, Paluma Range National Park, Lynam",-19.2403357,146.4477106,8.567557,3,0.35015816060517596,0,0.005405405405405406,0.005405405405405406,185,3,1,1,0,0.005405405405405406,0.35015816060517596,25,2217,1830,387,387,0,0,0.029304029304029304,0.029304029304029304,0.42902118987139315,25,84,55
